id,package,start,close,link,author,topic
1,ccafs - Client for CCAFS General Circulation Models Data,10/27/16,2/24/17,https://github.com/ropensci/onboarding/issues/82,Scott Chamberlain,climate-data
2,getCRUCLdata: Download and Use CRU CL2.0 Climatology Data in R,1/30/17,4/4/17,https://github.com/ropensci/onboarding/issues/96,Adam Sparks,data-access
3,GSODR: Global Surface Summary Daily Weather Data in R,10/13/16,1/20/17,https://github.com/ropensci/onboarding/issues/79,Adam Sparks,data-access
4,hddtools package,9/5/16,1/16/17,https://github.com/ropensci/onboarding/issues/73,Claudia Vitolo,data-access; earth-science
5,R Client for CAMS Radiation Service,8/22/16,11/7/16,https://github.com/ropensci/onboarding/issues/72,Lukas Lundström,data-access; earth-science
6,rdpla package ,8/16/16,10/24/16,https://github.com/ropensci/onboarding/issues/71,Scott Chamberlain,data-access
7,rdefra package,8/8/16,9/13/16,https://github.com/ropensci/onboarding/issues/68,Claudia Vitolo,data-access; earth-science
8,dbhydroR package,8/1/16,9/29/16,https://github.com/ropensci/onboarding/issues/61,Joseph Stachelek,data-access; earth-science
9,plateR: tools for microtiter plate-shaped data,7/26/16,10/19/16,https://github.com/ropensci/onboarding/issues/60,Sean Hughes,lab
10,getlandsat package,7/13/16,8/15/16,https://github.com/ropensci/onboarding/issues/58,Scott Chamberlain,data-access; earth-science; geospatial
11,ezknitr package ,6/25/16,9/15/16,https://github.com/ropensci/onboarding/issues/56,Dean Attali,reproducibility
12,gtfsr package,6/24/16,2/15/17,https://github.com/ropensci/onboarding/issues/55,Elaine McVey,data-access
13,mregions: Marine Regions Data from Marineregions.org,6/16/16,8/2/16,https://github.com/ropensci/onboarding/issues/53,Scott Chamberlain,data-access; geospatial
14,genbankr,5/20/16,8/1/16,https://github.com/ropensci/onboarding/issues/47,Gabe Becker,parsing; molecular-biology; geospatial; data-access
15,monkeylearn: natural language processing with the monkeylearn API,5/19/16,9/11/16,https://github.com/ropensci/onboarding/issues/45,Maelle Salmon,text-mining
16,geoparser: geoparsing with the geoparser.io API,5/7/16,6/16/16,https://github.com/ropensci/onboarding/issues/43,Maelle Salmon,data-access
17,tabulizer: Bindings for Tabula PDF Table Extractor Library,5/7/16,8/18/16,https://github.com/ropensci/onboarding/issues/42,Thomas Leeper,data-extraction
18,gutenbergr -- download and processing public domain works from Project Gutenberg ,5/2/16,5/13/16,https://github.com/ropensci/onboarding/issues/41,Dave Robinson,data-access; earth-science
19,Convertr package: Extensive unit conversion with a shiny gadget,4/26/16,5/14/16,https://github.com/ropensci/onboarding/issues/40,Gordon Shotwell,misc
20,riem package -- access to METAR through Iowa Environment Mesonet,4/25/16,5/25/16,https://github.com/ropensci/onboarding/issues/39,Maelle Salmon,data-access; climate-data
21,opencage -- a R package for the opencage API (forward and reverse geocoding),4/12/16,5/3/16,https://github.com/ropensci/onboarding/issues/36,Maelle Salmon,data-extraction; geospatial; text-mining
22,Tokenizers package,4/3/16,8/12/16,https://github.com/ropensci/onboarding/issues/33,Lincoln Mullen,text-mining; literature; data-extraction
23,rebi - an R-Client for Europe PMC ,3/11/16,5/31/16,https://github.com/ropensci/onboarding/issues/29,Najko Jahn,data-access; literature; text-mining
24,rgeospatialquality,3/11/16,4/8/16,https://github.com/ropensci/onboarding/issues/28,Javier Otegui,geospatial
25,osmplotr,3/4/16,5/19/16,https://github.com/ropensci/onboarding/issues/27,Mark Padgham,geospatial
26,robotstxt,1/9/16,4/27/16,https://github.com/ropensci/onboarding/issues/25,Peter Meissiner,parsing
27,Ropenaq package for R ,12/31/15,4/21/16,https://github.com/ropensci/onboarding/issues/24,Maelle Salmon,data-access; earth-science
28,assertr,12/24/15,6/14/16,https://github.com/ropensci/onboarding/issues/23,Tony Fischetti,reproducibility
29,rnaturalearth,11/26/15,6/14/16,https://github.com/ropensci/onboarding/issues/22,Andy South,geospatial; data-visualization
30,textreuse,9/17/15,10/29/15,https://github.com/ropensci/onboarding/issues/20,Lincoln Mullen,literature; text-mining
31,oai - an OAI-PMH client,8/21/15,10/21/15,https://github.com/ropensci/onboarding/issues/19,Scott Chamberlain,data-access; literature
32,rusda,6/29/15,8/4/15,https://github.com/ropensci/onboarding/issues/18,Franz-Sebastian Krah,data-access
33,rotl (Open Tree of Life),6/16/15,7/20/15,https://github.com/ropensci/onboarding/issues/17,Francois Michonneau,data-access
34,stplanr,4/8/15,10/28/15,https://github.com/ropensci/onboarding/issues/10,Robin Lovelace,data-access
35,rrlite,3/30/15,4/13/15,https://github.com/ropensci/onboarding/issues/6,Rich FitzJohn,database
